Implmtd.,Name,Type,Category,Power,Effect,Accuracy,PP,Priority,TM/Tutor,Game Description,,,,,,Effect Description
FALSE,Resounding Clang,Steel,Special,90,,100,10,0,None,The user creates a terrible clang in its metal then amplifies it to ear-splitting volume.,,,,,,This is a sound-based steel-type move that hits all creatures on the field.
FALSE,Flying Press,Fighting,Physical,100,,95,,,,,,,,,,
FALSE,Chitin Fist,Bug,Physical,80,,100,15,0,None,The user punches fiercely with an iron-hard insectoid fist. It can be a Bug- or Fighting-type move.,,,,,,"This is a punching move that can become a Fighting type move if that would be more effective. Even if this move 'becomes' a Fighting-type move for the purposes of effectiveness, it still only recieves STAB from Bug-type Pokemon."
FALSE,Coaching Coma,Psychic,Status,-,,-,10,0,TM,"A deep meditative trace overtakes the Pokemon, putting it to sleep while it gains a massive stat boost.",,,,,,"The Pokemon is put to sleep for 2 turns, but their Attack and Special Attack are rased by 1 stage each and their Defense and Special Defense are raised by 2."
FALSE,Vice Grip,Normal,Physical,55,,100,30,0,None,"Clamping down with pincers, the target is slowed and prevented from escaping.",,,,,,This pincer-based move prevents the target from swapping out and reduces their Speed stage by 1. This effect lasts until the move's user is removed from the field for any reason.
FALSE,Weather Ball,Normal,Special,60,,100,,0,None,This move changes it's type and doubles it's base power during weather.,,,,,,
FALSE,Sun Burst,Fire,Special,60,,100,15,0,None,"The user calls upon the sun's rays to burn all Pokemon, creating harsh sun then dealing damage.",,,,,,"First, harsh sun is called for 2 turns, then all Pokemon except the user are dealt damage by the attack."
FALSE,Needle Rain,Water,Special,60,,100,15,0,None,"The user calls down intense rain with needle-sharp droplets, creating rain then dealing damage.",,,,,,"First, rain is called for 2 turns, then all Pokemon except the user are dealt damage by the attack."
FALSE,Snow Drifts,Ice,Special,60,,100,15,0,None,"The user calls massive snow drifts from the sky, creating snow then dealing damage.",,,,,,"First, snow is called for 2 turns, then all Pokemon except the user are dealt damage by the attack."
FALSE,Solar Blast,Fire,Special,55,,100,15,0,None,"The user hurls a solar-charged piece of itself. If it is sunny, the power is doubled but it hurts the user.",,,,,,"This move has a 10% chance to burn the target. It doubles its base power during harsh sun, but also deals 1/8th of the users health back to itself."
FALSE,Uproar,Dark,Special,15,,100,20,0,TM,"The user uses a few choice words to incite general chaos, preventing sleep and attention for 3 turns.",,,,,,This is a sound-based +1 priorty attack that hits all Pokemon on the field. Any Pokemon dealt damage by this move (plus the user) are awoken and prevented from sleeping for 3 turns. Pokemon under this effect additionally ignore redirection from Pokemon who are the center of attention.
FALSE,Wake-up Slap,Fighting,Physical,15,,100,30,0,None,The user quickly slaps a Pokemon to awaken it. Allies are awoken differently from opponents.,,,,,,"This is a move with +1 priorty. If used on a Pokemon who is asleep, they wake up immediately. An ally awoken by this move has their Attack boosted by one stage, while an opponent has Defense reduced by one stage."
FALSE,Nap Time,Fairy,Special,-,,100,30,0,None,A break is called in the fighting for a nap. Every Pokemon who can hear the peace call will sleep.,,,,,,This is a sound-based status move. After it is used all Pokemon on the field (including the user) will fall asleep for 2 turns.
FALSE,Monkey Around,Fighting,Status,-,,-,20,0,None,"The Pokemon gets deep into the monkey mindset, but moves first and leaves itself open.",,,,,,"This +1 priority move boosts Attack and Speed but drops Defense and Special defense by two stages each. Additionally, this increases 'monkey mindset' by 2, to a maximum of 3. 'Monkey mindset' is reset when switching out."
FALSE,Monkey Fist,Fighting,Physical,70,,100,10,0,None,The power built through the monkey mindset is utilized in a sundering simian strike.,,,,,,"This move will fail if the user has a 'monkey mindset' value of 0. This move's damage is multiplied by (1+((X-1)/2)) where X is their 'monkey mindset' value. After this move is used, 'monkey mindset' is reduced by 1, along with 1 stage of its stat boosts and reductions."
FALSE,Mellow Monkey,Psychic,Status,-,,-,5,0,None,"The Pokemon winds down its monkey mindset, powering down but recovering.",,,,,,"This move will fail if the user has a 'monkey mindset' value of 0. The user heals (25*X) percent of their health, where X is their 'monkey mindset' value. After this move is used, 'monkey mindset' is reduced by 1, along with 1 stage of its stat boosts and reductions."
FALSE,Searing Monkey Fist,Fire,Physical,70,,100,10,0,None,The power built through the monkey mindset is utilized in a burning simian strike.,,,,,,"This move will fail if the user has a 'monkey mindset' value of 0. This move's damage is multiplied by (1+((X-1)/2)) where X is their 'monkey mindset' value. After this move is used, 'monkey mindset' is reduced by 1, along with 1 stage of its stat boosts and reductions."
FALSE,Pouring Monkey Fist,Water,Physical,70,,100,10,0,None,The power built through the monkey mindset is utilized in a soaking simian strike.,,,,,,"This move will fail if the user has a 'monkey mindset' value of 0. This move's damage is multiplied by (1+((X-1)/2)) where X is their 'monkey mindset' value. After this move is used, 'monkey mindset' is reduced by 1, along with 1 stage of its stat boosts and reductions."
FALSE,Sagely Monkey Fist,Grass,Physical,70,,100,10,0,None,The power built through the monkey mindset is utilized in a bark-solid simian strike.,,,,,,"This move will fail if the user has a 'monkey mindset' value of 0. This move's damage is multiplied by (1+((X-1)/2)) where X is their 'monkey mindset' value. After this move is used, 'monkey mindset' is reduced by 1, along with 1 stage of its stat boosts and reductions."
FALSE,Monkey Business,Fighting,Physical,20,,100,15,0,None,The user gets down to business and gets into the monkey mindset through combat prowess.,,,,,,"If this move hits, it boosts Attack and Speed but drops Defense and Special defense all by one stage each. Additionally, this increases 'monkey mindset' by 1, to a maximum of 3. 'Monkey mindset' is reset when switching out."
FALSE,Monkey Massacre,Fighting,Physical,-,,100,5,0,None,"This move only works if the user has maximized their monkey mindset. If it does hit, the target faints.",,,,,,"This move will fail if the user does not have a 'monkey mindset' value of 3. If this move hits, the target Pokemon faints. After this move is used, if the user has a 'monkey mindset' of 3, it is reset to 0."
FALSE,Form Slam,Normal,Physical,75,,100,15,0,TM,"Using a part of the Pokemon's body, it attacks. This move's type matches the Pokemon's first type.",,,,,,
FALSE,Berg Carrier,Ice,Physical,40,,100,10,0,Signature,"Avalugg shakes off some of the Bergmite on its back, using them to attack.",,,,,,This is an Ice-type Dragon Dart.
FALSE,Honey Share,Normal,Status,-,,-,,,,,,,,,,"The pokemon shares its honey with its ally. Fails if not holding Honey. Held honey is consumed, and both this pokemon and its ally heal 50% health."
FALSE,Honey Hoard,Fighting,Status,-,,-,,,,,,,,,,"The pokemon greedily gorges on its honey, regaining 50% health and gaining a Speed and Defense boost."
